,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
69,Rawson,0,AR,1564436528,54,54.05,-43.3,-65.11,4.37
70,Jieshi,100,CN,1564436528,88,80.99600000000001,22.82,115.83,1.47
71,Ukiah,1,US,1564436476,29,95.0,39.15,-123.21,5.1
72,Opopeo,90,MX,1564436528,88,68.0,19.41,-101.61,4.1
73,Dondo,0,MZ,1564436528,93,62.6,-19.62,34.74,1.0
74,Muncar,84,ID,1564436528,97,67.55000000000001,-8.43,114.34,1.1
75,Qaqortoq,1,GL,1564436297,47,59.0,60.72,-46.03,4.6
76,Cap Malheureux,75,MU,1564436529,100,73.994,-19.98,57.61,4.1
77,Ancud,90,CL,1564436529,100,50.0,-41.87,-73.83,9.8
78,Pineville,1,US,1564436529,55,91.994,31.32,-92.43,1.5
79,Moshkovo,99,RU,1564436529,82,60.8,55.3,83.61,2.0
80,Severo-Kurilsk,100,RU,1564436529,96,46.49,50.68,156.12,1.01
81,Cape Town,75,ZA,1564436530,87,59.0,-33.93,18.42,11.3
82,Ostend,20,DE,1564436530,77,71.006,50.11,8.7,1.0
83,Khanpur,59,PK,1564436530,50,94.73,28.65,70.66,2.74
84,Novodolinskiy,40,KZ,1564436530,72,64.4,49.7,72.7,4.0
85,Yerbogachen,34,RU,1564436530,73,55.49,61.28,108.01,1.92
86,Galle,99,GN,1564436531,98,68.99000000000001,10.08,-12.83,1.53
87,Alice Springs,83,AU,1564436531,61,48.2,-23.7,133.88,2.1
88,Nishihara,60,JP,1564436531,88,86.0,35.74,139.53,1.41
89,Deputatskiy,100,RU,1564436531,87,38.75,69.3,139.9,2.14
90,Kyzyl-Suu,1,KG,1564436531,68,71.33000000000001,42.34,78.0,0.77
91,Qom,0,IR,1564436532,18,77.45,34.64,50.88,3.43
92,Freistadt,75,AT,1564436532,82,68.0,48.51,14.5,2.6
93,Borgarnes,75,IS,1564436532,72,60.8,64.54,-21.92,1.5
94,Pasni,100,PK,1564436532,77,82.49000000000001,25.26,63.48,4.95
95,Nanortalik,87,GL,1564436533,89,39.11,60.14,-45.24,0.6
96,Bandarbeyla,4,SO,1564436533,72,76.73,9.49,50.81,11.14
97,Tecoanapa,20,MX,1564436533,66,89.6,16.99,-99.26,4.6
98,Mehamn,75,NO,1564436533,93,44.6,71.03,27.85,6.7
99,Baru,1,AF,1564436533,55,87.80000000000001,34.26,70.64,1.5
100,Kasongo-Lunda,100,CD,1564436534,43,67.73,-6.48,16.82,1.9
101,Ternate,90,PH,1564436534,83,78.99799999999999,14.29,120.72,1.0
102,Vagur,71,FO,1564436534,93,55.49,61.47,-6.81,4.15
103,Kahului,40,US,1564436534,48,86.0,20.89,-156.47,3.1
104,Hervey Bay,1,AU,1564436534,93,62.006,-25.3,152.85,0.68
105,Mzimba,0,MW,1564436534,56,57.83,-11.9,33.6,3.28
106,Nabire,100,ID,1564436535,99,68.27,-3.36,135.5,1.83
107,Bushehr,0,IR,1564436535,70,87.80000000000001,28.97,50.84,5.02
108,Nome,1,US,1564436506,88,87.80000000000001,30.04,-94.42,4.35
109,Ambanja,26,MG,1564436535,75,77.81,-13.68,48.45,0.69
110,Touros,0,BR,1564436535,83,77.0,-5.2,-35.46,4.1
111,Zhongxing,98,CN,1564436536,88,75.47,19.57,109.85,0.87
112,Koshki,18,RU,1564436536,88,45.05,54.2,50.47,2.07
113,Doha,0,QA,1564436394,79,93.2,25.29,51.53,4.1
114,Nagai,100,JP,1564436536,90,75.00200000000001,38.14,139.98,3.72
115,Venado Tuerto,19,AR,1564436536,80,51.998000000000005,-33.75,-61.97,0.89
116,Ahipara,37,NZ,1564436536,100,55.004,-35.17,173.16,8.58
117,Samarai,82,PG,1564436537,90,69.35,-10.62,150.67,1.51
118,Vologda,1,RU,1564436537,88,41.81,59.22,39.89,4.45
119,Carnarvon,0,ZA,1564436537,23,57.11,-30.97,22.13,6.05
120,Pau dos Ferros,0,BR,1564436537,47,79.43,-6.11,-38.21,3.57
121,Nikolskoye,0,RU,1564436537,62,53.996,59.7,30.79,2.0
122,Bredasdorp,22,ZA,1564436537,87,64.004,-34.53,20.04,1.5
123,Harbour Breton,12,CA,1564436538,90,58.91,47.48,-55.8,4.43
124,Kavieng,81,PG,1564436538,79,79.78999999999999,-2.57,150.8,4.19
125,Longyearbyen,75,NO,1564436538,87,46.4,78.22,15.63,5.1
126,Geraldton,75,CA,1564436398,68,71.6,49.72,-86.95,5.1
127,Yaan,43,NG,1564436538,95,73.31,7.38,8.57,2.42
128,Redmond,1,US,1564436497,34,82.004,47.67,-122.12,2.9
129,Kodiak,1,US,1564436539,42,86.0,39.95,-94.76,5.7
130,Rikitea,100,PF,1564436539,80,69.53,-23.12,-134.97,10.1
131,Darhan,100,MN,1564436539,82,55.31,49.49,105.92,1.73
132,Magadan,100,RU,1564436539,95,50.81,59.56,150.8,1.88
133,Haines Junction,100,CA,1564436539,78,47.39,60.75,-137.51,1.32
134,Sebastian,1,US,1564436340,74,86.0,27.82,-80.47,4.6
135,Mayumba,100,GA,1564436540,82,71.15,-3.44,10.65,4.12
136,Mahebourg,75,MU,1564436540,100,73.994,-20.41,57.7,4.1
137,Filadelfia,90,PY,1564436540,40,81.77,-22.35,-60.04,2.52
138,Poum,75,MK,1564436540,68,69.80000000000001,41.28,20.71,4.1
139,Tremedal,24,BR,1564436540,72,67.19,-14.98,-41.41,2.51
140,Necochea,60,AR,1564436541,90,46.994,-38.55,-58.74,1.79
141,Mezen,100,RU,1564436541,92,43.07,65.85,44.24,10.61
142,Trelew,0,AR,1564436541,54,54.05,-43.25,-65.31,4.37
143,Ossora,100,RU,1564436541,86,55.49,59.24,163.07,1.17
144,Gamba,100,CN,1564436541,63,44.69,28.28,88.52,1.9
145,Sidney,1,US,1564436542,31,75.992,47.72,-104.16,1.5
146,Kieta,7,PG,1564436542,81,78.71000000000001,-6.22,155.63,2.57
147,Jinchang,0,CN,1564436542,35,62.51,38.52,102.19,1.36
148,Sudzha,0,RU,1564436542,92,60.71,51.19,35.27,2.96
149,Dossor,51,KZ,1564436542,53,81.05000000000001,47.52,52.98,7.32
150,Vredendal,100,ZA,1564436542,92,56.75,-31.68,18.49,12.39
151,Beloha,0,MG,1564436543,78,66.28999999999999,-25.17,45.06,3.9
152,Portsmouth,0,GB,1564436543,59,69.008,50.8,-1.08,2.6
153,Hasaki,75,JP,1564436543,94,80.99600000000001,35.73,140.83,2.6
154,Orlik,0,PL,1564436543,77,73.004,53.95,17.74,1.5
155,Udachnyy,75,RU,1564436543,86,41.0,66.42,112.4,2.47
156,Cayenne,71,GF,1564436543,88,77.0,4.94,-52.33,1.0
157,Raudeberg,0,NO,1564436544,77,71.6,61.99,5.14,4.54
158,Moose Factory,90,CA,1564436544,94,69.80000000000001,51.26,-80.61,5.66
159,Srednekolymsk,96,RU,1564436544,66,47.93,67.46,153.71,2.12
160,Tasiilaq,100,GL,1564436544,94,40.370000000000005,65.61,-37.64,0.16
161,ChengDe,0,CN,1564436545,91,62.87,40.97,117.93,1.36
162,Pangnirtung,20,CA,1564436545,81,53.6,66.15,-65.72,2.1
163,Thinadhoo,87,MV,1564436545,69,83.57,0.53,72.93,2.73
164,Tokmak,100,UA,1564436545,56,74.57,47.26,35.7,3.75
165,Zyryanka,40,RU,1564436545,55,50.45,65.73,150.89,4.24
166,Tvoroyri,71,FO,1564436546,93,57.2,61.56,-6.81,4.6
167,Tubuala,40,PA,1564436546,79,87.008,9.52,-79.03,2.1
168,Hilo,90,US,1564436546,74,82.994,19.71,-155.08,4.6
169,Faanui,0,PF,1564436546,79,78.53,-16.48,-151.75,10.61
170,Saldanha,0,PT,1564436546,60,59.81,41.42,-6.55,5.15
171,Ponta Delgada,40,PT,1564436305,68,69.80000000000001,37.73,-25.67,3.6
172,Viedma,0,AR,1564436547,47,59.269999999999996,-40.81,-62.99,4.5
173,Ulagan,14,RU,1564436547,58,47.75,50.63,87.96,1.5
174,Moerai,83,PF,1564436547,79,70.07,-22.43,-151.33,11.09
175,Pran Buri,100,TH,1564436547,33,84.00200000000001,12.39,99.9,1.87
176,Coracora,0,PE,1564436548,11,60.89,-15.02,-73.78,3.93
177,Cabildo,0,CL,1564436548,68,64.4,-32.43,-71.07,2.6
178,Noumea,0,NC,1564436548,93,59.0,-22.28,166.46,1.0
179,Saint-Augustin,75,CA,1564436548,48,89.006,45.63,-73.98,2.6
180,Genoa,40,IT,1564436548,73,73.994,44.41,8.93,2.6
181,Berlevag,75,NO,1564436549,93,42.8,70.86,29.09,6.7
182,Rosario Oeste,0,BR,1564436549,25,87.17,-14.84,-56.43,0.59
183,Hami,0,CN,1564436549,17,76.19,42.84,93.51,2.02
184,Tingi,20,TZ,1564436549,64,63.41,-11.3,35.03,2.25
185,Hartlepool,63,GB,1564436550,100,62.6,54.7,-1.2,1.0
186,Paamiut,91,GL,1564436550,95,39.29,61.99,-49.67,4.68
187,Carupano,100,VE,1564436550,91,79.97,10.67,-63.26,0.36
188,Chenghai,75,CN,1564436550,83,82.4,23.46,116.77,2.0
189,Hit,0,IQ,1564436550,17,90.23,33.64,42.83,3.69
190,Diego de Almagro,0,CL,1564436551,36,68.27,-26.39,-70.05,2.65
191,Pechenga,53,RU,1564436551,88,42.71,58.89,41.46,3.6
192,Pagudpud,75,PH,1564436551,94,77.0,18.56,120.79,3.1
193,Hihya,0,EG,1564436551,65,82.4,30.67,31.59,3.1
194,Corcoran,1,US,1564436551,17,102.00200000000001,36.1,-119.56,4.1
195,Bethel,90,US,1564436551,82,57.2,60.79,-161.76,3.1
196,Beringovskiy,100,RU,1564436552,70,56.39,63.05,179.32,2.54
197,Palmer,20,AU,1564436552,93,46.994,-34.85,139.16,2.1
198,Castro,90,CL,1564436552,100,50.0,-42.48,-73.76,9.8
199,Torbay,20,CA,1564436552,88,64.994,47.66,-52.73,7.7
200,Borovskoy,0,KZ,1564436553,90,55.67,53.8,64.15,3.39
201,Jeremie,15,HT,1564436553,67,83.57,18.65,-74.12,2.69
202,Abashiri,100,JP,1564436553,74,78.008,44.01,144.25,2.24
203,Isangel,22,VU,1564436553,74,71.50999999999999,-19.55,169.27,7.49
204,Luderitz,3,NA,1564436553,77,60.8,-26.65,15.16,4.1
205,Souillac,0,FR,1564436553,72,71.006,45.6,-0.6,3.6
206,Casa Nova,30,BR,1564436554,41,72.05000000000001,-16.03,-44.16,2.69
207,Den Helder,0,NL,1564436554,77,69.008,52.96,4.76,1.0
208,Pella,20,GR,1564436554,69,82.004,40.76,22.53,1.5
209,Cherskiy,100,RU,1564436554,80,41.629999999999995,68.75,161.3,5.78
210,Avarua,0,CK,1564436294,78,77.0,-21.21,-159.78,8.2
211,Talnakh,90,RU,1564436554,100,48.2,69.49,88.39,2.0
212,Sistranda,0,NO,1564436555,77,68.0,63.73,8.83,1.0
213,Niquero,0,CU,1564436555,73,83.75,20.04,-77.58,3.06
214,Constitucion,90,MX,1564436555,68,75.00200000000001,23.99,-104.67,3.1
215,Mareeba,58,AU,1564436555,88,64.4,-16.99,145.42,4.6
216,Yeppoon,40,AU,1564436555,93,53.6,-23.13,150.74,0.6
217,Santa catarina de Tepehuanes,91,MX,1564436555,34,74.39,25.34,-105.72,4.65
218,Ucluelet,75,CA,1564436556,93,66.00200000000001,48.94,-125.55,3.1
219,Bambous Virieux,75,MU,1564436556,100,73.994,-20.34,57.76,4.1
220,Marigot,20,HT,1564436556,59,89.6,18.23,-72.32,5.7
221,Port Elizabeth,1,US,1564436556,49,95.0,39.31,-74.98,2.6
222,Honningsvag,75,NO,1564436556,87,44.6,70.98,25.97,5.7
223,La Ronge,75,CA,1564436557,46,69.80000000000001,55.1,-105.3,4.6
224,Cabo San Lucas,20,MX,1564436271,43,96.00800000000001,22.89,-109.91,6.2
225,Sanary-sur-Mer,0,FR,1564436557,68,75.2,43.12,5.8,1.5
226,Klaksvik,0,FO,1564436557,93,57.2,62.23,-6.59,4.6
227,Calama,0,CL,1564436557,1,69.80000000000001,-22.46,-68.93,6.7
228,Naliya,100,IN,1564436557,83,81.95,23.26,68.83,12.64
229,Mataura,100,NZ,1564436558,98,44.996,-46.19,168.86,4.47
230,Road Town,20,VG,1564436423,74,84.2,18.42,-64.62,6.2
231,Agrestina,0,BR,1564436558,87,64.31,-8.46,-35.94,3.25
232,Cobija,75,BR,1564436558,43,89.6,-11.02,-68.77,2.1
233,Inhambupe,67,BR,1564436558,97,67.37,-11.79,-38.36,1.9
234,Mankera,41,NG,1564436558,72,77.63,13.01,5.07,7.01
235,Baykit,0,RU,1564436559,94,52.25,61.68,96.39,0.06
236,Bagh,0,PK,1564436559,80,66.83000000000001,33.98,73.78,0.91
237,Dwarka,20,IN,1564436559,83,87.99799999999999,28.58,77.04,2.6
238,Pevek,100,RU,1564436559,96,32.09,69.7,170.27,2.79
239,Sitka,0,US,1564436559,35,93.99199999999999,37.17,-99.65,1.34
240,Sovetskiy,90,RU,1564436559,78,46.67,56.76,48.47,4.3
241,Butaritari,7,KI,1564436560,68,85.19,3.07,172.79,3.51
242,Yatou,75,CM,1564436560,100,75.2,3.63,9.81,1.0
243,Yinchuan,83,CN,1564436560,24,73.31,38.48,106.21,0.95
244,Nanma,56,CN,1564436560,96,66.47,35.7,113.14,1.88
245,Basoko,100,CD,1564436560,83,73.31,1.23,23.61,0.7
246,Te Anau,100,NZ,1564436560,93,37.85,-45.41,167.72,1.35
247,Vaini,100,IN,1564436561,90,76.55000000000001,15.34,74.49,3.78
248,East London,0,ZA,1564436561,16,70.43,-33.02,27.91,3.9
249,Hyeres,0,FR,1564436561,68,75.2,43.12,6.14,1.5
250,Mogzon,41,RU,1564436561,99,50.99,51.74,111.97,1.09
251,Mount Gambier,75,AU,1564436561,87,42.8,-37.83,140.78,2.1
252,Aasiaat,32,GL,1564436562,61,47.93,68.71,-52.87,7.23
253,Surt,0,LY,1564436562,80,80.33000000000001,31.21,16.59,5.5
254,Leningradskiy,58,RU,1564436562,66,44.15,69.38,178.42,4.06
255,Bollnas,72,SE,1564436562,95,49.91,61.35,16.39,3.72
256,Deulgaon Raja,40,IN,1564436563,88,73.4,20.02,76.04,3.6
257,Bay Saint Louis,40,US,1564436563,46,91.994,30.31,-89.33,4.1
258,Lodja,41,CD,1564436563,28,71.87,-3.52,23.6,0.76
259,Norman Wells,75,CA,1564436563,52,66.2,65.28,-126.83,7.2
260,Lompoc,20,US,1564436563,68,82.994,34.64,-120.46,7.7
261,Sinjai,30,ID,1564436563,73,61.43000000000001,-5.12,120.25,2.01
262,Sijunjung,99,ID,1564436564,97,65.21000000000001,-0.69,100.95,0.74
263,Inuvik,90,CA,1564436564,93,50.0,68.36,-133.71,3.6
264,Punta Arenas,75,CL,1564436564,80,39.2,-53.16,-70.91,4.6
265,Yichang,100,CN,1564436564,94,71.50999999999999,30.77,111.32,1.91
266,Kruisfontein,0,ZA,1564436564,27,67.37,-34.0,24.73,3.56
267,Agen,0,FR,1564436565,68,69.80000000000001,44.2,0.62,5.1
268,East Chicago,75,US,1564436565,88,84.992,41.64,-87.45,4.6
269,Hamilton,75,CA,1564436565,54,89.006,43.26,-79.87,8.7
270,Alvaraes,20,BR,1564436565,62,87.80000000000001,-3.22,-64.8,1.0
271,Anloga,40,GH,1564436310,94,77.0,5.79,0.9,4.6
272,Buri,85,BR,1564436565,82,63.230000000000004,-23.8,-48.6,1.9
273,High Level,40,CA,1564436566,59,66.2,58.52,-117.13,2.1
274,Makarov,92,RU,1564436566,94,61.97,48.62,142.78,1.36
275,Cortes,71,PH,1564436566,75,78.89,9.28,126.19,1.55
276,Camopi,100,GF,1564436566,96,76.73,3.17,-52.33,1.08
277,Yellowknife,75,CA,1564436421,68,64.4,62.45,-114.38,4.6
278,Kuryk,0,KZ,1564436567,54,76.55000000000001,43.18,51.68,2.45
279,Alyangula,54,AU,1564436567,93,60.8,-13.85,136.42,3.06
280,Tanete,0,ID,1564436567,73,77.63,-3.94,119.78,7.27
281,Northam,7,AU,1564436567,81,53.6,-31.65,116.67,1.5
282,Glace Bay,75,CA,1564436567,83,75.00200000000001,46.2,-59.96,5.7
283,Brokopondo,40,SR,1564436568,83,80.99600000000001,5.06,-54.98,3.1
284,San Patricio,74,PY,1564436568,96,60.89,-26.98,-56.83,1.59
285,Cornereva,33,RO,1564436568,91,59.629999999999995,45.06,22.42,0.49
286,Los Llanos de Aridane,90,ES,1564436568,69,75.2,28.66,-17.92,6.2
287,Grants,1,US,1564436568,19,89.6,35.15,-107.85,6.7
288,Abaza,100,RU,1564436568,88,52.97,52.65,90.1,0.53
289,Puerto Ayora,20,EC,1564436569,69,77.0,-0.74,-90.35,8.2
290,Soyo,77,AO,1564436569,88,71.87,-6.13,12.37,3.74
291,Novoagansk,24,RU,1564436569,81,61.43000000000001,61.94,76.66,5.14
292,Yumen,0,CN,1564436569,19,68.09,40.29,97.04,3.63
293,Ola,100,RU,1564436569,95,50.81,59.58,151.3,1.93
294,Marzuq,100,YE,1564436569,47,83.03,14.4,46.47,1.75
295,Vila do Maio,75,CV,1564436570,73,77.0,15.13,-23.22,7.2
296,Atuona,0,PF,1564436570,76,79.78999999999999,-9.8,-139.03,8.02
297,Dikson,98,RU,1564436570,74,41.27,73.51,80.55,6.22
298,Kizner,100,RU,1564436570,74,48.650000000000006,56.27,51.51,3.61
299,Baruun-Urt,100,MN,1564436570,94,55.85,46.68,113.28,3.37
300,Tacuarembo,97,UY,1564436571,88,56.03,-31.73,-55.98,2.48
301,Amapa,75,HN,1564436571,59,89.6,15.09,-87.97,6.7
302,Shakiso,98,ET,1564436571,97,54.41,5.77,38.9,0.6
303,Alamosa,1,US,1564436571,21,82.4,37.47,-105.87,6.7
304,Aswan,0,EG,1564436571,17,91.4,24.09,32.9,3.1
305,Oia,40,ES,1564436572,87,62.995999999999995,42.0,-8.88,2.1
306,Iguguno,69,TZ,1564436572,48,63.769999999999996,-4.57,34.63,1.89
307,Boguchany,0,RU,1564436572,84,56.03,58.38,97.46,0.23
308,Sibu,75,MY,1564436455,100,77.0,2.29,111.83,1.59
309,Mitchell,1,US,1564436365,50,78.80000000000001,43.71,-98.03,4.1
310,Hithadhoo,100,MV,1564436572,70,83.75,-0.6,73.08,3.36
311,Port Hardy,90,CA,1564436572,77,64.4,50.7,-127.42,4.1
312,Nieuw Amsterdam,20,SR,1564436573,74,82.4,5.88,-55.08,3.1
313,Havre-Saint-Pierre,1,CA,1564436345,73,69.80000000000001,50.23,-63.6,8.7
314,Normandin,75,CA,1564436410,48,82.4,48.84,-72.53,2.6
315,Shirokiy,2,RU,1564436573,76,46.994,53.87,39.17,1.62
316,Zhigansk,0,RU,1564436573,69,47.75,66.77,123.37,8.57
317,Barao de Melgaco,0,BR,1564436573,22,89.6,-16.19,-55.97,4.1
318,Sao Filipe,35,CV,1564436574,80,74.75,14.9,-24.5,5.18
319,Sungairaya,100,ID,1564436574,80,81.41,0.7,108.9,8.2
320,The Valley,40,AI,1564436565,83,84.00200000000001,18.22,-63.06,5.7
321,Hovd,40,NO,1564436574,60,68.0,63.83,10.7,5.7
322,Port Alfred,0,ZA,1564436574,27,75.992,-33.59,26.89,3.13
323,San Cristobal,5,HN,1564436574,31,88.43,14.68,-86.92,4.69
324,Itapirapua,0,BR,1564436574,33,79.97,-15.82,-50.61,0.8
325,San Juan,0,AR,1564436379,36,52.790000000000006,-31.54,-68.53,1.26
326,Moa,94,CU,1564436575,56,83.57,20.66,-74.95,3.18
327,Quartucciu,0,IT,1564436575,69,75.2,39.25,9.18,3.1
328,Sencha,0,UA,1564436575,83,67.73,50.26,33.34,1.81
329,Labuhan,100,ID,1564436575,87,68.99000000000001,-2.54,115.51,0.7
330,Mount Isa,1,AU,1564436576,61,48.2,-20.73,139.49,2.1
331,Talcahuano,90,CL,1564436396,100,53.6,-36.72,-73.12,4.1
332,Provideniya,90,RU,1564436576,87,50.0,64.42,-173.23,4.0
333,Riyadh,0,SA,1564436576,27,89.6,24.63,46.72,1.0
334,Hay River,75,CA,1564436576,31,73.4,60.82,-115.79,6.7
335,San Quintin,100,PH,1564436577,92,74.03,17.54,120.52,1.72
336,Fairbanks,75,US,1564436409,77,64.004,64.84,-147.72,1.62
337,Xichang,100,CN,1564436577,95,55.67,27.88,102.25,1.44
338,Kalmunai,86,LK,1564436577,78,75.11,7.42,81.82,1.72
339,Mae Sai,75,MM,1564436578,88,78.80000000000001,20.44,99.89,1.0
340,Knysna,0,ZA,1564436563,100,48.2,-34.04,23.05,2.1
341,Paita,0,PE,1564436572,290,62.6,-5.09,-81.11,7.7
342,Vostok,100,RU,1564436578,97,68.27,46.45,135.83,2.72
343,Wagar,40,US,1564436578,47,91.994,31.44,-87.99,1.34
344,Marrakesh,0,MA,1564436579,47,78.80000000000001,31.63,-7.99,5.1
345,Komsomolskiy,65,RU,1564436579,64,53.870000000000005,67.55,63.78,9.31
346,Lieksa,66,FI,1564436579,76,45.95,63.32,30.02,4.74
347,Aller,0,GB,1564436579,63,68.0,51.06,-2.86,5.7
348,Broken Hill,0,AU,1564436579,93,39.2,-31.97,141.45,3.1
349,Puerto Escondido,75,MX,1564436580,70,87.80000000000001,15.86,-97.07,4.6
350,Zurich,75,CH,1564436538,82,69.80000000000001,47.37,8.54,1.5
351,Svetlaya,100,RU,1564436580,77,70.97,46.54,138.33,2.36
352,Progreso,75,UY,1564436580,93,53.6,-34.68,-56.22,2.6
353,Chumikan,0,RU,1564436580,77,57.290000000000006,54.72,135.31,0.88
354,Schwerin,40,DE,1564436402,94,69.008,53.63,11.41,2.6
355,Pisco,0,PE,1564436580,30,71.6,-13.71,-76.2,4.1
356,Lazaro Cardenas,75,MX,1564436581,31,91.004,28.39,-105.62,3.6
357,Lethem,100,GY,1564436581,61,86.99000000000001,3.38,-59.8,0.55
358,Payo,65,ID,1564436581,89,65.03,-3.75,103.64,1.43
359,Naze,100,NG,1564436581,95,73.13,5.43,7.07,1.69
360,Gat,40,SN,1564436581,74,82.4,14.69,-16.54,2.6
361,Lebu,100,ET,1564436581,89,56.57,8.96,38.73,0.91
362,Victoria,75,BN,1564436533,88,77.0,5.28,115.24,1.0
363,Tiksi,100,RU,1564436582,95,35.87,71.64,128.87,2.68
364,Fare,20,PF,1564436582,80,77.27,-16.7,-151.02,10.13
365,Port Lincoln,65,AU,1564436582,73,56.57,-34.72,135.86,3.76
366,Veraval,0,FR,1564436582,53,73.994,49.65,0.71,4.1
367,Cidreira,89,BR,1564436582,85,61.61,-30.17,-50.22,1.61
